username,email,password,role
teacher.francais.1,teacher.francais.1@gmail.com,Test123456,user
teacher.maths.8,teacher.maths.8@gmail.com,Test123456,user
kokou.oumar,kokou.oumar@gmail.com,Test123456,user
aminata.akanbi,aminata.akanbi@yahoo.com,Test123456,user
awa.ajayi,awa.ajayi@yahoo.com,Test123456,user
abdoulaye.zanou,abdoulaye.zanou@school.test,Test123456,user
kodjo.fofana,kodjo.fofana@school.test,Test123456,user
malik.saïdou,malik.saïdou@yahoo.com,Test123456,user
ariane.anago,ariane.anago@yahoo.com,Test123456,user
cédric.bankole,cédric.bankole@yahoo.com,Test123456,user
noëlla.coumba,noëlla.coumba@yahoo.com,Test123456,user
aminata.sow,aminata.sow@gmail.com,Test123456,user
lionel.koulibaly,lionel.koulibaly@gmail.com,Test123456,user
rita.koffi,rita.koffi@example.com,Test123456,user
sita.togbé,sita.togbé@example.com,Test123456,user
nicolas.hounkpati,nicolas.hounkpati@yahoo.com,Test123456,user
loïc.bamba,loïc.bamba@yahoo.com,Test123456,user
rodrigue.akanbi,rodrigue.akanbi@example.com,Test123456,user
fanta.kouassi,fanta.kouassi@gmail.com,Test123456,user
sarah.coulibaly,sarah.coulibaly@yahoo.com,Test123456,user
adjo.kpovi,adjo.kpovi@school.test,Test123456,user
malik.jalloh,malik.jalloh@yahoo.com,Test123456,user
nathalie.kodjo,nathalie.kodjo@example.com,Test123456,user
daniel.toure,daniel.toure@yahoo.com,Test123456,user
daniel.akakpo,daniel.akakpo@example.com,Test123456,user
serge.afolabi,serge.afolabi@example.com,Test123456,user
rachid.tiémoko,rachid.tiémoko@gmail.com,Test123456,user
idriss.amadou,idriss.amadou@school.test,Test123456,user
anne.kibaki,anne.kibaki@example.com,Test123456,user
ornella.balde,ornella.balde@school.test,Test123456,user
estelle.adeyemi,estelle.adeyemi@gmail.com,Test123456,user
khadija.diabaté,khadija.diabaté@gmail.com,Test123456,user
boris.akakpo,boris.akakpo@gmail.com,Test123456,user
hadjara.oumar,hadjara.oumar@yahoo.com,Test123456,user
claudine.zongo,claudine.zongo@example.com,Test123456,user
idriss.kabba,idriss.kabba@yahoo.com,Test123456,user
assétou.traoré,assétou.traoré@example.com,Test123456,user
astrid.soglo,astrid.soglo@school.test,Test123456,user
noëlla.balogun,noëlla.balogun@yahoo.com,Test123456,user
bénédicte.adeyinka,bénédicte.adeyinka@gmail.com,Test123456,user
hervé.kouassi,hervé.kouassi@example.com,Test123456,user
olivia.saïdou,olivia.saïdou@school.test,Test123456,user
youssouf.kaboré,youssouf.kaboré@yahoo.com,Test123456,user
nora.kossi,nora.kossi@yahoo.com,Test123456,user
koffi.koffi,koffi.koffi@yahoo.com,Test123456,user
mohamed.mbakop,mohamed.mbakop@school.test,Test123456,user
yves.gbessi,yves.gbessi@gmail.com,Test123456,user
stéphane.kpovi,stéphane.kpovi@school.test,Test123456,user
cyrille.ismail,cyrille.ismail@gmail.com,Test123456,user
désirée.ahouansou,désirée.ahouansou@gmail.com,Test123456,user
adjowa.zinédine,adjowa.zinédine@example.com,Test123456,user
romaric.diabaté,romaric.diabaté@yahoo.com,Test123456,user
hadjara.ahouansou,hadjara.ahouansou@gmail.com,Test123456,user
zeinabou.coulibaly,zeinabou.coulibaly@school.test,Test123456,user
loïc.kouadio,loïc.kouadio@school.test,Test123456,user
sylvie.nwachukwu,sylvie.nwachukwu@example.com,Test123456,user
assétou.zinédine,assétou.zinédine@yahoo.com,Test123456,user
jean.idriss,jean.idriss@yahoo.com,Test123456,user
jean.etim,jean.etim@gmail.com,Test123456,user
moussa.kabba,moussa.kabba@school.test,Test123456,user
fati.adesina,fati.adesina@yahoo.com,Test123456,user
joël.antoine,joël.antoine@example.com,Test123456,user
aboubacar.yendé,aboubacar.yendé@yahoo.com,Test123456,user
youssouf.balogun,youssouf.balogun@yahoo.com,Test123456,user
kokou.adeyemi,kokou.adeyemi@school.test,Test123456,user
sylvie.ola,sylvie.ola@school.test,Test123456,user
prince.baba,prince.baba@example.com,Test123456,user
stéphane.souleyman,stéphane.souleyman@gmail.com,Test123456,user
josué.kone,josué.kone@school.test,Test123456,user
karim.gnandi,karim.gnandi@yahoo.com,Test123456,user
souleymane.yabi,souleymane.yabi@school.test,Test123456,user
cyrille.camara,cyrille.camara@yahoo.com,Test123456,user
angélique.coumba,angélique.coumba@school.test,Test123456,user
cynthia.kone,cynthia.kone@yahoo.com,Test123456,user
isabelle.adjovi,isabelle.adjovi@school.test,Test123456,user
bénédicte.olusola,bénédicte.olusola@example.com,Test123456,user
colette.afolabi,colette.afolabi@school.test,Test123456,user
josué.niang,josué.niang@yahoo.com,Test123456,user
kokou.yao,kokou.yao@school.test,Test123456,user
cynthia.akindo,cynthia.akindo@example.com,Test123456,user
estelle.okoye,estelle.okoye@yahoo.com,Test123456,user
blaise.obi,blaise.obi@school.test,Test123456,user
aïcha.sarr,aïcha.sarr@example.com,Test123456,user
mariam.houssou,mariam.houssou@school.test,Test123456,user
grace.agossa,grace.agossa@gmail.com,Test123456,user
anne.adebayo,anne.adebayo@gmail.com,Test123456,user
richard.bankole,richard.bankole@yahoo.com,Test123456,user
victoire.ahouansou,victoire.ahouansou@gmail.com,Test123456,user
laurent.mbengue,laurent.mbengue@yahoo.com,Test123456,user
cynthia.kpodar,cynthia.kpodar@school.test,Test123456,user
laurent.tchibota,laurent.tchibota@gmail.com,Test123456,user
carine.gnonlonfoun,carine.gnonlonfoun@yahoo.com,Test123456,user
estelle.zongo,estelle.zongo@example.com,Test123456,user
adéla.traore,adéla.traore@school.test,Test123456,user
fati.gnandi,fati.gnandi@school.test,Test123456,user
lucie.lamine,lucie.lamine@example.com,Test123456,user
estelle.coumba,estelle.coumba@gmail.com,Test123456,user
carine.bankole,carine.bankole@yahoo.com,Test123456,user
aïcha.kabba,aïcha.kabba@yahoo.com,Test123456,user
ephrem.mbakop,ephrem.mbakop@yahoo.com,Test123456,user
grace.akakpo,grace.akakpo@school.test,Test123456,user
angélique.etim,angélique.etim@example.com,Test123456,user
joël.cissé,joël.cissé@school.test,Test123456,user
safiatou.koulibaly,safiatou.koulibaly@yahoo.com,Test123456,user
emmanuel.bah,emmanuel.bah@school.test,Test123456,user
astrid.kouassi,astrid.kouassi@yahoo.com,Test123456,user
ornella.ekpo,ornella.ekpo@example.com,Test123456,user
hamidou.avo,hamidou.avo@yahoo.com,Test123456,user
loïc.tchibota,loïc.tchibota@school.test,Test123456,user
clarisse.bankole,clarisse.bankole@gmail.com,Test123456,user
aboubacar.kibaki,aboubacar.kibaki@yahoo.com,Test123456,user
déborah.traoré,déborah.traoré@school.test,Test123456,user
sita.adebisi,sita.adebisi@example.com,Test123456,user
jacob.kaboré,jacob.kaboré@gmail.com,Test123456,user
chantal.dossou,chantal.dossou@school.test,Test123456,user
laure.ebo,laure.ebo@school.test,Test123456,user
loïc.bankole,loïc.bankole@gmail.com,Test123456,user
didier.togbé,didier.togbé@gmail.com,Test123456,user
ali.afolabi,ali.afolabi@example.com,Test123456,user
sylvie.koffi,sylvie.koffi@yahoo.com,Test123456,user
théophile.n’guessan,théophile.n’guessan@yahoo.com,Test123456,user
cyrille.mabiala,cyrille.mabiala@example.com,Test123456,user
théophile.sawadogo,théophile.sawadogo@example.com,Test123456,user
rachid.karamoko,rachid.karamoko@example.com,Test123456,user
ephrem.bamba,ephrem.bamba@school.test,Test123456,user
togbé.sekou,togbé.sekou@example.com,Test123456,user
nadine.traoré,nadine.traoré@yahoo.com,Test123456,user
adjo.okechukwu,adjo.okechukwu@example.com,Test123456,user
nadine.tchao,nadine.tchao@yahoo.com,Test123456,user
samson.tamba,samson.tamba@example.com,Test123456,user
zeinabou.ajayi,zeinabou.ajayi@yahoo.com,Test123456,user
carine.boahen,carine.boahen@example.com,Test123456,user
noëlla.gnonlonfoun,noëlla.gnonlonfoun@example.com,Test123456,user
chantal.tchibota,chantal.tchibota@example.com,Test123456,user
lionel.etim,lionel.etim@yahoo.com,Test123456,user
josiane.gnandi,josiane.gnandi@school.test,Test123456,user
pascal.zanou,pascal.zanou@example.com,Test123456,user
mariam.diallo,mariam.diallo@yahoo.com,Test123456,user
pélagie.seydou,pélagie.seydou@school.test,Test123456,user
daniel.obi,daniel.obi@yahoo.com,Test123456,user
pascal.antoine,pascal.antoine@example.com,Test123456,user
joël.kibaki,joël.kibaki@gmail.com,Test123456,user
justine.mbaye,justine.mbaye@example.com,Test123456,user
josiane.nguessan,josiane.nguessan@school.test,Test123456,user
cédric.annan,cédric.annan@yahoo.com,Test123456,user
rachel.cissé,rachel.cissé@yahoo.com,Test123456,user
nora.tcham,nora.tcham@example.com,Test123456,user
koffi.mbaye,koffi.mbaye@yahoo.com,Test123456,user
kodjo.n’guessan,kodjo.n’guessan@yahoo.com,Test123456,user
zeinabou.amadou,zeinabou.amadou@gmail.com,Test123456,user
déborah.traore,déborah.traore@example.com,Test123456,user
josiane.nwankwo,josiane.nwankwo@school.test,Test123456,user
prisca.onyango,prisca.onyango@yahoo.com,Test123456,user
joël.kaboré,joël.kaboré@yahoo.com,Test123456,user
ariane.yeo,ariane.yeo@school.test,Test123456,user
fati.dah,fati.dah@school.test,Test123456,user
nathalie.yeo,nathalie.yeo@yahoo.com,Test123456,user
ulrich.togbé,ulrich.togbé@school.test,Test123456,user
fanta.balogun,fanta.balogun@school.test,Test123456,user
alassane.akakpo,alassane.akakpo@example.com,Test123456,user
cheikh.boahen,cheikh.boahen@example.com,Test123456,user
hadjara.nwankwo,hadjara.nwankwo@school.test,Test123456,user
essi.sankara,essi.sankara@school.test,Test123456,user
daniel.koulibaly,daniel.koulibaly@example.com,Test123456,user
nora.ismail,nora.ismail@school.test,Test123456,user
karim.kabba,karim.kabba@school.test,Test123456,user
nicolas.akakpo,nicolas.akakpo@gmail.com,Test123456,user
saliou.n’guessan,saliou.n’guessan@example.com,Test123456,user
ornella.fofana,ornella.fofana@example.com,Test123456,user
oumou.adeyemi,oumou.adeyemi@gmail.com,Test123456,user
ornella.mabiala,ornella.mabiala@gmail.com,Test123456,user
claudine.antoine,claudine.antoine@gmail.com,Test123456,user
ali.seydou,ali.seydou@gmail.com,Test123456,user
wilfried.zongo,wilfried.zongo@school.test,Test123456,user
rodrigue.koutché,rodrigue.koutché@gmail.com,Test123456,user
théophile.yem,théophile.yem@yahoo.com,Test123456,user
wilfried.fofana,wilfried.fofana@yahoo.com,Test123456,user
cheikh.mbakop,cheikh.mbakop@school.test,Test123456,user
aïcha.zanou,aïcha.zanou@gmail.com,Test123456,user
loïc.koffi,loïc.koffi@school.test,Test123456,user
estelle.moussa,estelle.moussa@example.com,Test123456,user
ornella.amadou,ornella.amadou@gmail.com,Test123456,user
richard.nwachukwu,richard.nwachukwu@example.com,Test123456,user
hawa.okechukwu,hawa.okechukwu@yahoo.com,Test123456,user
richard.zossou,richard.zossou@gmail.com,Test123456,user
kokou.nguessan,kokou.nguessan@yahoo.com,Test123456,user
inès.sarr,inès.sarr@gmail.com,Test123456,user
cédric.ekpo,cédric.ekpo@gmail.com,Test123456,user
rita.koné,rita.koné@gmail.com,Test123456,user
patricia.bamba,patricia.bamba@example.com,Test123456,user
tatiana.tchao,tatiana.tchao@gmail.com,Test123456,user
astrid.kouyaté,astrid.kouyaté@gmail.com,Test123456,user
jules.kaboré,jules.kaboré@yahoo.com,Test123456,user
jean.lamine,jean.lamine@yahoo.com,Test123456,user
fati.koulibaly,fati.koulibaly@yahoo.com,Test123456,user
irène.moussa,irène.moussa@gmail.com,Test123456,user
colette.ndiaye,colette.ndiaye@school.test,Test123456,user
koffi.ismail,koffi.ismail@yahoo.com,Test123456,user
tatiana.koulibaly,tatiana.koulibaly@example.com,Test123456,user
didier.sekou,didier.sekou@school.test,Test123456,user
adjo.gnonlonfoun,adjo.gnonlonfoun@school.test,Test123456,user
didier.sow,didier.sow@school.test,Test123456,user
jacob.chukwu,jacob.chukwu@gmail.com,Test123456,user
anne.koné,anne.koné@gmail.com,Test123456,user
cheikh.atcholi,cheikh.atcholi@yahoo.com,Test123456,user
lucie.bangoura,lucie.bangoura@school.test,Test123456,user
hamidou.sossou,hamidou.sossou@school.test,Test123456,user
colette.olusola,colette.olusola@gmail.com,Test123456,user
thérèse.sossou,thérèse.sossou@school.test,Test123456,user
wilfried.mamadou,wilfried.mamadou@yahoo.com,Test123456,user
rodrigue.sekou,rodrigue.sekou@school.test,Test123456,user
lionel.yabi,lionel.yabi@gmail.com,Test123456,user
josué.kpogue,josué.kpogue@example.com,Test123456,user
khadija.gnonlonfoun,khadija.gnonlonfoun@school.test,Test123456,user
sylvie.nguessan,sylvie.nguessan@school.test,Test123456,user
ali.adeyinka,ali.adeyinka@gmail.com,Test123456,user
arnaud.gbessi,arnaud.gbessi@yahoo.com,Test123456,user
daouda.ola,daouda.ola@example.com,Test123456,user
boris.mabiala,boris.mabiala@example.com,Test123456,user
kossi.adjovi,kossi.adjovi@gmail.com,Test123456,user
ramatou.yendé,ramatou.yendé@yahoo.com,Test123456,user
myriam.togbé,myriam.togbé@gmail.com,Test123456,user
ali.bah,ali.bah@gmail.com,Test123456,user
aïcha.kanzi,aïcha.kanzi@school.test,Test123456,user
stéphane.bangoura,stéphane.bangoura@yahoo.com,Test123456,user
gaëtan.ndiaye,gaëtan.ndiaye@yahoo.com,Test123456,user
rita.zossou,rita.zossou@example.com,Test123456,user
fatou.antoine,fatou.antoine@gmail.com,Test123456,user
khadija.sawadogo,khadija.sawadogo@example.com,Test123456,user
yannick.afolabi,yannick.afolabi@example.com,Test123456,user
cyrille.mbengue,cyrille.mbengue@school.test,Test123456,user
fati.oumar,fati.oumar@yahoo.com,Test123456,user
jean.antoine,jean.antoine@school.test,Test123456,user
inès.kaboré,inès.kaboré@school.test,Test123456,user
ornella.bello,ornella.bello@yahoo.com,Test123456,user
fatou.adeyemi,fatou.adeyemi@gmail.com,Test123456,user
aminata.yabi,aminata.yabi@school.test,Test123456,user
ali.akakpo,ali.akakpo@example.com,Test123456,user
nora.obi,nora.obi@gmail.com,Test123456,user
zeinabou.houngbo,zeinabou.houngbo@example.com,Test123456,user
mireille.cissé,mireille.cissé@example.com,Test123456,user
mohamed.agossa,mohamed.agossa@yahoo.com,Test123456,user
fanta.sekou,fanta.sekou@yahoo.com,Test123456,user
adjowa.bankole,adjowa.bankole@example.com,Test123456,user
hamidou.ndiaye,hamidou.ndiaye@example.com,Test123456,user
ismaël.kodjo,ismaël.kodjo@yahoo.com,Test123456,user
safiatou.yem,safiatou.yem@yahoo.com,Test123456,user
inès.adeyemi,inès.adeyemi@school.test,Test123456,user
evelyne.kossi,evelyne.kossi@example.com,Test123456,user
adjowa.amadou,adjowa.amadou@yahoo.com,Test123456,user
youssouf.senyo,youssouf.senyo@yahoo.com,Test123456,user
cynthia.adeyemi,cynthia.adeyemi@school.test,Test123456,user
naomi.mabiala,naomi.mabiala@school.test,Test123456,user
lucie.seydou,lucie.seydou@yahoo.com,Test123456,user
nicolas.chukwu,nicolas.chukwu@yahoo.com,Test123456,user
barnabé.sylla,barnabé.sylla@school.test,Test123456,user
safiatou.akindele,safiatou.akindele@yahoo.com,Test123456,user
colette.sylla,colette.sylla@school.test,Test123456,user
olivia.gnonlonfoun,olivia.gnonlonfoun@school.test,Test123456,user
daniel.mendy,daniel.mendy@example.com,Test123456,user
astrid.jalloh,astrid.jalloh@gmail.com,Test123456,user
ousmane.ola,ousmane.ola@school.test,Test123456,user
naomi.fofana,naomi.fofana@example.com,Test123456,user
jules.kibaki,jules.kibaki@yahoo.com,Test123456,user
christelle.sekou,christelle.sekou@yahoo.com,Test123456,user
hawa.adjovi,hawa.adjovi@school.test,Test123456,user
samuel.anago,samuel.anago@yahoo.com,Test123456,user
claudine.coumba,claudine.coumba@school.test,Test123456,user
ali.houssou,ali.houssou@school.test,Test123456,user
yves.owusu,yves.owusu@example.com,Test123456,user
patricia.agossa,patricia.agossa@gmail.com,Test123456,user
jean.soglo,jean.soglo@example.com,Test123456,user
issa.kouame,issa.kouame@school.test,Test123456,user
koffi.ola,koffi.ola@example.com,Test123456,user
nourou.zinédine,nourou.zinédine@school.test,Test123456,user
aïcha.houssou,aïcha.houssou@yahoo.com,Test123456,user
cheikh.n’guessan,cheikh.n’guessan@school.test,Test123456,user
anani.traore,anani.traore@gmail.com,Test123456,user
adjowa.houngbo,adjowa.houngbo@example.com,Test123456,user
déborah.yao,déborah.yao@gmail.com,Test123456,user
josiane.mbakop,josiane.mbakop@school.test,Test123456,user
sita.ndiaye,sita.ndiaye@yahoo.com,Test123456,user
oumou.ahouansou,oumou.ahouansou@gmail.com,Test123456,user
brice.hounkpati,brice.hounkpati@gmail.com,Test123456,user
laure.tcham,laure.tcham@example.com,Test123456,user
paola.bangoura,paola.bangoura@gmail.com,Test123456,user
stéphane.kouame,stéphane.kouame@school.test,Test123456,user
aminata.zongo,aminata.zongo@school.test,Test123456,user
rita.koné1,rita.koné1@gmail.com,Test123456,user
landry.kouyaté,landry.kouyaté@gmail.com,Test123456,user
evelyne.ndiaye,evelyne.ndiaye@school.test,Test123456,user
jules.koné,jules.koné@yahoo.com,Test123456,user
josiane.houngbédji,josiane.houngbédji@gmail.com,Test123456,user
daouda.boahen,daouda.boahen@example.com,Test123456,user
koffi.fofana,koffi.fofana@example.com,Test123456,user
flora.zinédine,flora.zinédine@example.com,Test123456,user
adjo.bangoura,adjo.bangoura@yahoo.com,Test123456,user
yves.ouedraogo,yves.ouedraogo@yahoo.com,Test123456,user
myriam.zinédine,myriam.zinédine@yahoo.com,Test123456,user
romaric.bangoura,romaric.bangoura@yahoo.com,Test123456,user
bénédicte.kanzi,bénédicte.kanzi@yahoo.com,Test123456,user
yacoubou.owusu,yacoubou.owusu@gmail.com,Test123456,user
noëlla.kibaki,noëlla.kibaki@example.com,Test123456,user
malik.coulibaly,malik.coulibaly@example.com,Test123456,user
kevin.anan,kevin.anan@gmail.com,Test123456,user
lionel.seydou,lionel.seydou@yahoo.com,Test123456,user
serge.kibaki,serge.kibaki@example.com,Test123456,user
olivia.kaboré,olivia.kaboré@example.com,Test123456,user
carine.koulibaly,carine.koulibaly@yahoo.com,Test123456,user
josiane.diabaté,josiane.diabaté@yahoo.com,Test123456,user
ephrem.koné,ephrem.koné@school.test,Test123456,user
laure.afolabi,laure.afolabi@yahoo.com,Test123456,user
idriss.togbé,idriss.togbé@example.com,Test123456,user
nadine.ndiaye,nadine.ndiaye@yahoo.com,Test123456,user
firmin.cissé,firmin.cissé@gmail.com,Test123456,user
cheikh.akindo,cheikh.akindo@example.com,Test123456,user
isabelle.ajayi,isabelle.ajayi@school.test,Test123456,user
akofa.ismail,akofa.ismail@gmail.com,Test123456,user
saliou.tchibota,saliou.tchibota@gmail.com,Test123456,user
rachel.kougnin,rachel.kougnin@school.test,Test123456,user
barnabé.dossou,barnabé.dossou@gmail.com,Test123456,user
issa.sylla,issa.sylla@gmail.com,Test123456,user
astrid.kwame,astrid.kwame@school.test,Test123456,user
mohamed.mabiala,mohamed.mabiala@gmail.com,Test123456,user
firmin.gnonlonfoun,firmin.gnonlonfoun@example.com,Test123456,user
bénédicte.koutché,bénédicte.koutché@yahoo.com,Test123456,user
ousmane.koffi,ousmane.koffi@yahoo.com,Test123456,user
fati.tiémoko,fati.tiémoko@example.com,Test123456,user
oumou.ndiaye,oumou.ndiaye@school.test,Test123456,user
sarah.coulibaly1,sarah.coulibaly1@school.test,Test123456,user
youssouf.niang,youssouf.niang@school.test,Test123456,user
safiatou.akindo,safiatou.akindo@school.test,Test123456,user
lionel.mbakop,lionel.mbakop@example.com,Test123456,user
rodrigue.okoye,rodrigue.okoye@gmail.com,Test123456,user
pélagie.adjovi,pélagie.adjovi@school.test,Test123456,user
khadija.tamba,khadija.tamba@gmail.com,Test123456,user
landry.tiémoko,landry.tiémoko@yahoo.com,Test123456,user
ali.kibaki,ali.kibaki@example.com,Test123456,user
yacoubou.kouame,yacoubou.kouame@example.com,Test123456,user
patricia.seydou,patricia.seydou@school.test,Test123456,user
awa.kouassi,awa.kouassi@yahoo.com,Test123456,user
nathalie.ouedraogo,nathalie.ouedraogo@school.test,Test123456,user
anani.ismail,anani.ismail@gmail.com,Test123456,user
mohamed.kpodar,mohamed.kpodar@gmail.com,Test123456,user
hervé.oumar,hervé.oumar@gmail.com,Test123456,user
evelyne.tcham,evelyne.tcham@example.com,Test123456,user
ornella.agossa,ornella.agossa@example.com,Test123456,user
adjowa.akakpo,adjowa.akakpo@yahoo.com,Test123456,user
chantal.kouassi,chantal.kouassi@gmail.com,Test123456,user
prisca.akakpo,prisca.akakpo@school.test,Test123456,user
boris.traoré,boris.traoré@school.test,Test123456,user
cyrille.mbakop,cyrille.mbakop@example.com,Test123456,user
andré.dossou,andré.dossou@school.test,Test123456,user
thérèse.agossa,thérèse.agossa@yahoo.com,Test123456,user
ali.kaboré,ali.kaboré@yahoo.com,Test123456,user
wilfried.ajayi,wilfried.ajayi@yahoo.com,Test123456,user
mohamed.nguessan,mohamed.nguessan@example.com,Test123456,user
pélagie.agbo,pélagie.agbo@yahoo.com,Test123456,user
théophile.antoine,théophile.antoine@yahoo.com,Test123456,user
irène.ouedraogo,irène.ouedraogo@example.com,Test123456,user
fanta.zanou,fanta.zanou@school.test,Test123456,user
victoire.zanou,victoire.zanou@example.com,Test123456,user
désirée.ismail,désirée.ismail@school.test,Test123456,user
fati.atcholi,fati.atcholi@example.com,Test123456,user
colette.houngbédji,colette.houngbédji@example.com,Test123456,user
irène.diarra,irène.diarra@gmail.com,Test123456,user
ismaël.kpovi,ismaël.kpovi@school.test,Test123456,user
clarisse.kossi,clarisse.kossi@gmail.com,Test123456,user
inès.moyo,inès.moyo@yahoo.com,Test123456,user
andré.akindo,andré.akindo@example.com,Test123456,user
essi.adeyemi,essi.adeyemi@gmail.com,Test123456,user
ali.ekpo,ali.ekpo@example.com,Test123456,user
nourou.yendé,nourou.yendé@yahoo.com,Test123456,user
hawa.ahouansou,hawa.ahouansou@yahoo.com,Test123456,user
nicolas.kouassi,nicolas.kouassi@school.test,Test123456,user
safiatou.mamadou,safiatou.mamadou@gmail.com,Test123456,user
serge.kouadio,serge.kouadio@gmail.com,Test123456,user
hervé.agbo,hervé.agbo@school.test,Test123456,user
rodrigue.gnonlonfoun,rodrigue.gnonlonfoun@gmail.com,Test123456,user
colette.akanbi,colette.akanbi@example.com,Test123456,user
lucie.adeyemi,lucie.adeyemi@yahoo.com,Test123456,user
samson.tamba1,samson.tamba1@yahoo.com,Test123456,user
hervé.sossou,hervé.sossou@example.com,Test123456,user
akofa.mbakop,akofa.mbakop@example.com,Test123456,user
nicolas.houngbo,nicolas.houngbo@yahoo.com,Test123456,user
hawa.owusu,hawa.owusu@example.com,Test123456,user
sita.nguessan,sita.nguessan@yahoo.com,Test123456,user
zeinabou.adeyemi,zeinabou.adeyemi@example.com,Test123456,user
claudin.olusola,claudin.olusola@yahoo.com,Test123456,user
anani.kougnin,anani.kougnin@yahoo.com,Test123456,user
mohamed.obi,mohamed.obi@gmail.com,Test123456,user
lionel.mensah,lionel.mensah@gmail.com,Test123456,user
astrid.toure,astrid.toure@school.test,Test123456,user
jules.baba,jules.baba@school.test,Test123456,user
brice.karamoko,brice.karamoko@school.test,Test123456,user
christelle.boahen,christelle.boahen@yahoo.com,Test123456,user
arnaud.gnandi,arnaud.gnandi@gmail.com,Test123456,user
josiane.hounkpati,josiane.hounkpati@school.test,Test123456,user
saliou.ajayi,saliou.ajayi@example.com,Test123456,user
franck.ajayi,franck.ajayi@yahoo.com,Test123456,user
rachid.yeo,rachid.yeo@example.com,Test123456,user
fatou.saïdou,fatou.saïdou@school.test,Test123456,user
jacob.mbakop,jacob.mbakop@gmail.com,Test123456,user
laurent.sossou,laurent.sossou@example.com,Test123456,user
victoire.etim,victoire.etim@gmail.com,Test123456,user
gaëtan.ismail,gaëtan.ismail@yahoo.com,Test123456,user
wilfried.annan,wilfried.annan@yahoo.com,Test123456,user
joël.agossa,joël.agossa@gmail.com,Test123456,user
clarisse.coumba,clarisse.coumba@school.test,Test123456,user
aminata.adjovi,aminata.adjovi@example.com,Test123456,user
justine.togbé,justine.togbé@yahoo.com,Test123456,user
brice.avo,brice.avo@yahoo.com,Test123456,user
tatiana.akindo,tatiana.akindo@yahoo.com,Test123456,user
astrid.fofana,astrid.fofana@example.com,Test123456,user
olivia.moyo,olivia.moyo@gmail.com,Test123456,user
