username,email,password,first_name,last_name,subject,assigned_class_ids
teacher.ecofam.2,teacher.ecofam.2@example.com,OOFTYSMTZq0sog,Issa,Okoye,EcoFam,
teacher.ecofam.3,teacher.ecofam.3@school.test,1y-8M0ervOkeRw,Hawa,N'diaye,EcoFam,
teacher.ecofam.4,teacher.ecofam.4@school.test,iw06587GWbVyuA,Wilfried,Agossa,EcoFam,
teacher.ecofam.5,teacher.ecofam.5@gmail.com,-rpWQp6zWbvCWA,Mohamed,Houngbédji,EcoFam,
teacher.ecofam.6,teacher.ecofam.6@example.com,Bx0YKejwsoIamw,Saliou,Gnonlonfoun,EcoFam,
teacher.ecofam.7,teacher.ecofam.7@example.com,aH6zWwL57WYUBg,Ousmane,Diallo,EcoFam,
teacher.ecofam.8,teacher.ecofam.8@example.com,ZwqSEpfSpB7qzQ,Victoire,Akakpo,EcoFam,
teacher.ecofam.9,teacher.ecofam.9@example.com,JT7acv9fJ9Lr2w,Saliou,Togbé,EcoFam,
teacher.ecofam.10,teacher.ecofam.10@school.test,wMlnFK8pIyWVtA,Mariam,Adjovi,EcoFam,
teacher.ecofam.11,teacher.ecofam.11@yahoo.com,-bK3cj-cHGrNAA,Anani,Dossou,EcoFam,
teacher.ecofam.12,teacher.ecofam.12@gmail.com,vmfCa6CNq6hTGA,Arnaud,N'diaye,EcoFam,
teacher.ecofam.13,teacher.ecofam.13@example.com,C5ay2VsWfARMSw,Chantal,Koutché,EcoFam,
teacher.ecofam.14,teacher.ecofam.14@yahoo.com,1L9lbHVw6i1OhA,Fanta,Houngbédji,EcoFam,
teacher.ecofam.15,teacher.ecofam.15@example.com,t25sloHKXZV3Yg,Landry,Mabiala,EcoFam,
teacher.eps.1,teacher.eps.1@yahoo.com,NSOohO-wTI1YGg,Fatou,Yabi,EPS,26;10
teacher.eps.2,teacher.eps.2@gmail.com,oDuN4qXlE74plg,Saliou,Dah,EPS,8;30;34
teacher.eps.3,teacher.eps.3@example.com,kDu8KrQ1ifl5_Q,Kossi,Dah,EPS,5;20
teacher.eps.4,teacher.eps.4@gmail.com,OpP5HHHS8_PWqQ,Fanta,Houngbédji,EPS,2
teacher.eps.5,teacher.eps.5@yahoo.com,iJvuNudHR2ATAA,Rita,Traoré,EPS,33;11
teacher.eps.6,teacher.eps.6@example.com,vghktYZtRzqFBQ,Sita,Akakpo,EPS,24;16
teacher.eps.7,teacher.eps.7@school.test,0DNC-jbVDY2OTA,Aïcha,Ouedraogo,EPS,25;7
teacher.eps.8,teacher.eps.8@school.test,DuYry4eK0YLq5Q,Brigitte,Anago,EPS,21;14
teacher.eps.9,teacher.eps.9@yahoo.com,uKZiGJJZLizokQ,Evelyne,Kpodar,EPS,12
teacher.eps.10,teacher.eps.10@school.test,7KAQBhO_lFZE5w,Mohamed,Agossa,EPS,4;18;13
teacher.eps.11,teacher.eps.11@gmail.com,LpDripHF8uvQbg,Kevin,Yabi,EPS,3;27;1
teacher.eps.12,teacher.eps.12@gmail.com,arEO8FYIu7llGA,Kevin,Traoré,EPS,32
teacher.eps.13,teacher.eps.13@example.com,Qva9s2pCi1Psqg,Ulrich,Kpodar,EPS,9
teacher.eps.14,teacher.eps.14@school.test,1lPskSEAi7ik1g,Nathalie,Kpodar,EPS,28;19;35
teacher.eps.15,teacher.eps.15@yahoo.com,lPPZLpiryVJzJg,Romaric,Okoye,EPS,29
teacher.espagnol.1,teacher.espagnol.1@example.com,CDbdSWTFgFE35w,Awa,Gnonlonfoun,Espagnol,22;30;8
teacher.espagnol.2,teacher.espagnol.2@example.com,R9xwtBZrmVqYDw,Claudin,Agossa,Espagnol,12;15;16
teacher.espagnol.3,teacher.espagnol.3@school.test,Ah5pqcc_iKstDw,Pascal,Mensah,Espagnol,21
teacher.espagnol.4,teacher.espagnol.4@yahoo.com,8zof3bmFWWJwrQ,Assétou,Diallo,Espagnol,
teacher.espagnol.5,teacher.espagnol.5@example.com,UYFbQ77Mh-UfmA,Kokou,Mensah,Espagnol,
teacher.espagnol.6,teacher.espagnol.6@yahoo.com,_wegFBEZzosDTQ,Jean,Okoye,Espagnol,
teacher.espagnol.7,teacher.espagnol.7@school.test,pUkSGel8-gnDvA,Eudes,Diallo,Espagnol,
teacher.espagnol.8,teacher.espagnol.8@school.test,dbUdemO8g0kKCA,Victoire,Kpodar,Espagnol,
teacher.espagnol.9,teacher.espagnol.9@yahoo.com,yfO8xna5a6GDpg,Issa,Anago,Espagnol,
teacher.espagnol.10,teacher.espagnol.10@gmail.com,XQ0UIct6Qh78qw,Ulrich,Dah,Espagnol,
teacher.espagnol.11,teacher.espagnol.11@gmail.com,IOJAE9wE03De9g,Togbé,Ouedraogo,Espagnol,
teacher.espagnol.12,teacher.espagnol.12@gmail.com,__xFzEiNn6hzYg,Fanta,Soglo,Espagnol,
teacher.espagnol.13,teacher.espagnol.13@example.com,EmFWSbUxcb8swA,Eudes,Ouedraogo,Espagnol,
teacher.espagnol.14,teacher.espagnol.14@school.test,FN97yeDu9Zaxrg,Adéla,Togbé,Espagnol,
teacher.espagnol.15,teacher.espagnol.15@school.test,5ESEqcwyrlBzqw,Ulrich,Koffi,Espagnol,
teacher.francais.1,teacher.francais.1@gmail.com,LGBlI1T6nBHsYw,Mariam,Togbé,Français,36;26
teacher.francais.2,teacher.francais.2@gmail.com,O-_3DtSeCLBlZg,Hawa,Soglo,Français,29;12
teacher.francais.3,teacher.francais.3@school.test,WRgXbVCqiBnL1Q,Emmanuel,Dah,Français,17;9;1
teacher.francais.4,teacher.francais.4@yahoo.com,Q5q0KhIGXlR-Mw,Alassane,Ouedraogo,Français,19;23
teacher.francais.5,teacher.francais.5@gmail.com,pVm5FXDknYfQ0w,Saliou,Kpodar,Français,3;14
teacher.francais.6,teacher.francais.6@school.test,TTP36CohzaPbRA,Nora,Dossou,Français,13
teacher.francais.7,teacher.francais.7@example.com,4ZSX8nIwUr99Uw,Blaise,Togbé,Français,21;27;25
teacher.francais.8,teacher.francais.8@gmail.com,U6A5EhvuhFzNeQ,Evelyne,Dah,Français,5;35;33
teacher.francais.9,teacher.francais.9@example.com,tKpb1ms7GoA9cg,Adéla,Ouedraogo,Français,18
teacher.francais.10,teacher.francais.10@school.test,2nMLkOsB22QJhQ,Arnaud,Togbé,Français,31;30
teacher.francais.11,teacher.francais.11@yahoo.com,FyxNjGP-PyBGBA,Prisca,Dah,Français,20;32;15
teacher.francais.12,teacher.francais.12@gmail.com,bkYYwCqnT5GsVg,Yannick,Mabiala,Français,2
teacher.francais.13,teacher.francais.13@gmail.com,OA8LLpMbF0iQAA,Assétou,Ahouansou,Français,7;8;24
teacher.francais.14,teacher.francais.14@school.test,uDQcvFVTIABSxg,Fatou,Anago,Français,11;6
teacher.francais.15,teacher.francais.15@example.com,rywUZyf6-BWpvQ,Rodrigue,Ouedraogo,Français,10;34
teacher.hist-geo.1,teacher.hist-geo.1@example.com,urutlEUIdVs3kA,Anani,Ahouansou,Hist-Géo,36;18
teacher.hist-geo.2,teacher.hist-geo.2@gmail.com,ERl2MhLnKqcHig,Prisca,Anago,Hist-Géo,10
teacher.hist-geo.3,teacher.hist-geo.3@yahoo.com,Z1Ufz8TYGtJW4Q,Landry,Okoye,Hist-Géo,17
teacher.hist-geo.4,teacher.hist-geo.4@school.test,_1IKTWCpsS5VLA,Landry,Kpodar,Hist-Géo,15;32
teacher.hist-geo.5,teacher.hist-geo.5@yahoo.com,Zy-XxKpXNZsVtQ,Rita,Dah,Hist-Géo,14;12
teacher.hist-geo.6,teacher.hist-geo.6@example.com,4NcGIyjZiUNkRQ,Aminata,Mabiala,Hist-Géo,28;9;19
teacher.hist-geo.7,teacher.hist-geo.7@school.test,PYc5KXJr_WsbBA,Brigitte,Mensah,Hist-Géo,5;16
teacher.hist-geo.8,teacher.hist-geo.8@gmail.com,AtITBLmOlpc5Wg,Anani,Mensah,Hist-Géo,8;34
teacher.hist-geo.9,teacher.hist-geo.9@school.test,WU1moKAi2LeOXA,Koffi,Koffi,Hist-Géo,3
teacher.hist-geo.10,teacher.hist-geo.10@school.test,7Jk3-rcuTQ-4Jw,Grace,Houngbédji,Hist-Géo,35
teacher.hist-geo.11,teacher.hist-geo.11@gmail.com,cmFhe5ORokyoew,Kevin,Dah,Hist-Géo,22;30;4
teacher.hist-geo.12,teacher.hist-geo.12@yahoo.com,szBoOZ2QrKKlSw,Awa,N'diaye,Hist-Géo,21;27;13
teacher.hist-geo.13,teacher.hist-geo.13@yahoo.com,rV7HgI2g9dw3dg,Alassane,Diallo,Hist-Géo,2;26
teacher.hist-geo.14,teacher.hist-geo.14@gmail.com,pdmun7JAhMC7Vw,Evelyne,Yabi,Hist-Géo,29;20;31
teacher.hist-geo.15,teacher.hist-geo.15@gmail.com,oZmC2Cfvh8Uc5w,Chantal,Traoré,Hist-Géo,23;7;25
teacher.maths.1,teacher.maths.1@school.test,Fp26ZOXDqfrbsg,Jean,Okoye,Maths,27;14;17
teacher.maths.2,teacher.maths.2@example.com,e-RN5en1x7QtTg,Estelle,Ouedraogo,Maths,31
teacher.maths.3,teacher.maths.3@yahoo.com,KmZNBFLcr_M_BA,Saliou,Diallo,Maths,28;26;23
teacher.maths.4,teacher.maths.4@example.com,jpJBBhS8xBDKlw,Anani,Mabiala,Maths,4
teacher.maths.5,teacher.maths.5@school.test,AZdAlZiS3_k5zA,Stéphane,Kpodar,Maths,29;12
teacher.maths.6,teacher.maths.6@yahoo.com,W4WhwfMEZY-SjQ,Arnaud,Ahouansou,Maths,34;7;25
teacher.maths.7,teacher.maths.7@school.test,7DHJ_KHrsGPhjw,Rita,Diallo,Maths,18
teacher.maths.8,teacher.maths.8@gmail.com,hBsM_AQSO64hVg,Olivia,Mensah,Maths,15;33;19
teacher.maths.9,teacher.maths.9@gmail.com,6pS44blTMfx6Hw,Hawa,Dossou,Maths,22
teacher.maths.10,teacher.maths.10@gmail.com,yb_oAMl-SFvszg,Fanta,Houngbédji,Maths,35;36
teacher.maths.11,teacher.maths.11@school.test,3cHCYJuzTPP5XQ,Arnaud,Okoye,Maths,11
teacher.maths.12,teacher.maths.12@yahoo.com,pn9A_lh_JqSX7g,Kodjo,Anago,Maths,5;8;20
teacher.maths.13,teacher.maths.13@example.com,KECujAk15TI_yQ,Nicolas,Koffi,Maths,3;1;30
teacher.maths.14,teacher.maths.14@example.com,mj6xzux2BQnkCg,Serge,Adjovi,Maths,16;13
teacher.maths.15,teacher.maths.15@yahoo.com,N6STi25pVITxtg,Kodjo,Soglo,Maths,21;10;32
teacher.musique.1,teacher.musique.1@gmail.com,GTl2WxUbN4ZByQ,Fatou,Ouedraogo,Musique,
teacher.musique.2,teacher.musique.2@yahoo.com,yFdEbPrVqnldZg,Grace,Kpodar,Musique,
teacher.musique.3,teacher.musique.3@example.com,UqQU6MgAEAFFMw,Chantal,Togbé,Musique,
teacher.musique.4,teacher.musique.4@example.com,dC8Rds88s60bJQ,Evelyne,Yabi,Musique,
teacher.musique.5,teacher.musique.5@school.test,4fDnU2xWxBPidw,Kokou,Adjovi,Musique,
teacher.musique.6,teacher.musique.6@example.com,e6zw4a-9DTHM1w,Kevin,Mabiala,Musique,
teacher.musique.7,teacher.musique.7@school.test,bW7oEjEmllhMtg,Pascal,Soglo,Musique,
teacher.musique.8,teacher.musique.8@school.test,LI9STyykRRrw5Q,Rita,Kpodar,Musique,
teacher.musique.9,teacher.musique.9@yahoo.com,8r48-mVBLt7L0A,Richard,Anago,Musique,
teacher.musique.10,teacher.musique.10@school.test,JWNZPON5vwO_4g,Nathalie,Mabiala,Musique,
teacher.musique.11,teacher.musique.11@yahoo.com,werNDIII_nVFcQ,Nora,Akakpo,Musique,
teacher.musique.12,teacher.musique.12@gmail.com,d-_pSegwo4x2SQ,Koffi,Yabi,Musique,
teacher.musique.13,teacher.musique.13@gmail.com,Irl9y57UJjc2Og,Hawa,Dossou,Musique,
teacher.musique.14,teacher.musique.14@school.test,7g6_rx2U85XUgQ,Rita,Traoré,Musique,
teacher.musique.15,teacher.musique.15@gmail.com,i1-gPkIOymytJA,Claudine,Koffi,Musique,
teacher.pct.1,teacher.pct.1@example.com,lhBg6XKJCnWhpg,Nora,Anago,PCT,33;9
teacher.pct.2,teacher.pct.2@gmail.com,KJmcAk__veWLBw,Nathalie,Anago,PCT,2
teacher.pct.3,teacher.pct.3@example.com,EeJLLD08CdW6eQ,Olivia,Okoye,PCT,17;5;20
teacher.pct.4,teacher.pct.4@gmail.com,YmONcwSmSyRj1Q,Romaric,Agossa,PCT,18;10;36
teacher.pct.5,teacher.pct.5@example.com,zH_XBVbfXSXvBw,Kokou,Ouedraogo,PCT,19;35;28
teacher.pct.6,teacher.pct.6@school.test,YyqIAzSjQK3xwA,Rita,Mabiala,PCT,1;25
teacher.pct.7,teacher.pct.7@yahoo.com,SWRkYBIMWHGNDg,Ulrich,Ahouansou,PCT,26
teacher.pct.8,teacher.pct.8@gmail.com,MijgtBq2Pt_7JQ,Firmin,Traoré,PCT,6
teacher.pct.9,teacher.pct.9@yahoo.com,Gl9-Nx9RQSl4Ig,Evelyne,Traoré,PCT,34
teacher.pct.10,teacher.pct.10@yahoo.com,EqOsFIlyixZpHg,Adéla,Akakpo,PCT,27;4
teacher.pct.11,teacher.pct.11@school.test,FXZDIvJM0k3tIg,Blaise,Anago,PCT,3
teacher.pct.12,teacher.pct.12@school.test,K81oVur7hM3dsA,Nora,Okoye,PCT,
teacher.pct.13,teacher.pct.13@example.com,ooq3pGT7vYNBbg,Claudin,Akakpo,PCT,
teacher.pct.14,teacher.pct.14@school.test,WY5WQHkfD9kxSw,Grace,Akakpo,PCT,
teacher.pct.15,teacher.pct.15@example.com,svtMRiW5tNaH4Q,Arnaud,Kpodar,PCT,
teacher.philo.1,teacher.philo.1@example.com,dJu-nF0t2QTY4A,Estelle,Mensah,Philo,36;19
teacher.philo.2,teacher.philo.2@gmail.com,RQ7YUZucG7RqWQ,Serge,N'diaye,Philo,35;23;22
teacher.philo.3,teacher.philo.3@school.test,-gcnUbJNgbWsSg,Samson,Kpodar,Philo,28
teacher.philo.4,teacher.philo.4@school.test,-y_3QP29NdlmdQ,Claudin,Ahouansou,Philo,30;34
teacher.philo.5,teacher.philo.5@example.com,wYBEgQ3Dzikb0w,Jean,Houngbédji,Philo,13;33
teacher.philo.6,teacher.philo.6@example.com,IOuxB8R0B3VmMA,Serge,Togbé,Philo,32
teacher.philo.7,teacher.philo.7@example.com,yEfHtx0o3fxf5Q,Landry,Ouedraogo,Philo,31;21;20
teacher.philo.8,teacher.philo.8@example.com,KVx8LcCcAErQZg,Serge,Dossou,Philo,24;14;16
teacher.philo.9,teacher.philo.9@gmail.com,hcQ8lWJLlVZmxA,Chantal,Anago,Philo,17;27
teacher.philo.10,teacher.philo.10@school.test,-W_9ftwq5YOUqg,Evelyne,Agossa,Philo,15
teacher.philo.11,teacher.philo.11@example.com,ZZaWze9Xu8cNEA,Assétou,Koffi,Philo,25;29;26
teacher.philo.12,teacher.philo.12@gmail.com,4AP6SB6bZSPbZA,Prisca,Diallo,Philo,18
teacher.philo.13,teacher.philo.13@example.com,ffXR7jQRfV252w,Grace,Kpodar,Philo,
teacher.philo.14,teacher.philo.14@school.test,I_bEig3RSTcF8g,Richard,Koutché,Philo,
teacher.philo.15,teacher.philo.15@school.test,r-_EDRRl6lRfDA,Emmanuel,Diallo,Philo,
teacher.svt.1,teacher.svt.1@school.test,tyFA3ocaCTlvmg,Grace,Mabiala,SVT,16;11
teacher.svt.2,teacher.svt.2@gmail.com,3yKcX6rUQ2BhMw,Adéla,N'diaye,SVT,4;27
teacher.svt.3,teacher.svt.3@example.com,zKM-6CYBUYPK_A,Nora,Mensah,SVT,15;6;31
teacher.svt.4,teacher.svt.4@yahoo.com,j6FsWnRIzOYNzA,Nathalie,Okoye,SVT,13;7
teacher.svt.5,teacher.svt.5@yahoo.com,3BTCnI1IsE0_AQ,Hawa,Dossou,SVT,19;21
teacher.svt.6,teacher.svt.6@example.com,ZTH0t-ulLRYMbA,Koffi,Diallo,SVT,33;3
teacher.svt.7,teacher.svt.7@example.com,A-7d4x0Y7VdsaQ,Grace,Adjovi,SVT,5
teacher.svt.8,teacher.svt.8@school.test,f4kc8Q4W3VA9og,Alassane,Koffi,SVT,8;35;10
teacher.svt.9,teacher.svt.9@example.com,F-PiYpW9grenoA,Ousmane,Ahouansou,SVT,29;22
teacher.svt.10,teacher.svt.10@school.test,aros8kX89iSn_Q,Alassane,Anago,SVT,26
teacher.svt.11,teacher.svt.11@yahoo.com,KcKneZ0suhapBQ,Evelyne,Mabiala,SVT,9;36;23
teacher.svt.12,teacher.svt.12@example.com,gJUIN5mTuSe3Yw,Kossi,Adjovi,SVT,30;28
teacher.svt.13,teacher.svt.13@school.test,QBof37F0p7KZRA,Yves,Akakpo,SVT,25;1;24
teacher.svt.14,teacher.svt.14@example.com,LymejSmECkmXww,Rita,Houngbédji,SVT,12;20;17
teacher.svt.15,teacher.svt.15@gmail.com,cEG49TxCGcJsRg,Nora,Mabiala,SVT,14;32;2
